00000000000 // a =  0 , b =  0 , sel =  0
11011010010 // a = 13 , b =  2 , sel =  6
11011010011 // a = 13 , b =  3 , sel =  6
11011010100 // a = 13 , b =  4 , sel =  6
11011010101 // a = 13 , b =  5 , sel =  6
11011010110 // a = 13 , b =  6 , sel =  6
11011010111 // a = 13 , b =  7 , sel =  6
11011011000 // a = 13 , b =  8 , sel =  6
11011011001 // a = 13 , b =  9 , sel =  6
11011011010 // a = 13 , b = 10 , sel =  6
11011011011 // a = 13 , b = 11 , sel =  6
11011011100 // a = 13 , b = 12 , sel =  6
11011011101 // a = 13 , b = 13 , sel =  6
11011011110 // a = 13 , b = 14 , sel =  6
11011011111 // a = 13 , b = 15 , sel =  6
11011100000 // a = 14 , b =  0 , sel =  6
11011100001 // a = 14 , b =  1 , sel =  6
11011100010 // a = 14 , b =  2 , sel =  6
11011100011 // a = 14 , b =  3 , sel =  6
11011100100 // a = 14 , b =  4 , sel =  6
11011100101 // a = 14 , b =  5 , sel =  6
11011100110 // a = 14 , b =  6 , sel =  6
11011100111 // a = 14 , b =  7 , sel =  6
11011101000 // a = 14 , b =  8 , sel =  6
11011101001 // a = 14 , b =  9 , sel =  6
11011101010 // a = 14 , b = 10 , sel =  6
11011101011 // a = 14 , b = 11 , sel =  6
11011101100 // a = 14 , b = 12 , sel =  6
11011101101 // a = 14 , b = 13 , sel =  6
11011101110 // a = 14 , b = 14 , sel =  6
11011101111 // a = 14 , b = 15 , sel =  6
11011110000 // a = 15 , b =  0 , sel =  6
11011110001 // a = 15 , b =  1 , sel =  6
11011110010 // a = 15 , b =  2 , sel =  6
11011110011 // a = 15 , b =  3 , sel =  6
11011110100 // a = 15 , b =  4 , sel =  6
11011110101 // a = 15 , b =  5 , sel =  6
11011110110 // a = 15 , b =  6 , sel =  6
11011110111 // a = 15 , b =  7 , sel =  6
11011111000 // a = 15 , b =  8 , sel =  6
11011111001 // a = 15 , b =  9 , sel =  6
11011111010 // a = 15 , b = 10 , sel =  6
11011111011 // a = 15 , b = 11 , sel =  6
11011111100 // a = 15 , b = 12 , sel =  6
11011111101 // a = 15 , b = 13 , sel =  6
11011111110 // a = 15 , b = 14 , sel =  6
11011111111 // a = 15 , b = 15 , sel =  6
11100000000 // a =  0 , b =  0 , sel =  7
11100000001 // a =  0 , b =  1 , sel =  7
11100000010 // a =  0 , b =  2 , sel =  7
11100000011 // a =  0 , b =  3 , sel =  7
11100000100 // a =  0 , b =  4 , sel =  7
11100000101 // a =  0 , b =  5 , sel =  7
11100000110 // a =  0 , b =  6 , sel =  7
11100000111 // a =  0 , b =  7 , sel =  7
11100001000 // a =  0 , b =  8 , sel =  7
11100001001 // a =  0 , b =  9 , sel =  7
11100001010 // a =  0 , b = 10 , sel =  7
11100001011 // a =  0 , b = 11 , sel =  7
11100001100 // a =  0 , b = 12 , sel =  7
11100001101 // a =  0 , b = 13 , sel =  7
11100001110 // a =  0 , b = 14 , sel =  7
11100001111 // a =  0 , b = 15 , sel =  7
11100010000 // a =  1 , b =  0 , sel =  7
11100010001 // a =  1 , b =  1 , sel =  7
11100010010 // a =  1 , b =  2 , sel =  7
11100010011 // a =  1 , b =  3 , sel =  7
11100010100 // a =  1 , b =  4 , sel =  7
11100010101 // a =  1 , b =  5 , sel =  7
11100010110 // a =  1 , b =  6 , sel =  7
11100010111 // a =  1 , b =  7 , sel =  7
11100011000 // a =  1 , b =  8 , sel =  7
11100011001 // a =  1 , b =  9 , sel =  7
11100011010 // a =  1 , b = 10 , sel =  7
11100011011 // a =  1 , b = 11 , sel =  7
11100011100 // a =  1 , b = 12 , sel =  7
11100011101 // a =  1 , b = 13 , sel =  7
11100011110 // a =  1 , b = 14 , sel =  7
11100011111 // a =  1 , b = 15 , sel =  7
11100100000 // a =  2 , b =  0 , sel =  7
11100100001 // a =  2 , b =  1 , sel =  7
11100100010 // a =  2 , b =  2 , sel =  7
11100100011 // a =  2 , b =  3 , sel =  7
11100100100 // a =  2 , b =  4 , sel =  7
11100100101 // a =  2 , b =  5 , sel =  7
11100100110 // a =  2 , b =  6 , sel =  7
11100100111 // a =  2 , b =  7 , sel =  7
11100101000 // a =  2 , b =  8 , sel =  7
11100101001 // a =  2 , b =  9 , sel =  7
11100101010 // a =  2 , b = 10 , sel =  7
11100101011 // a =  2 , b = 11 , sel =  7
11100101100 // a =  2 , b = 12 , sel =  7
11100101101 // a =  2 , b = 13 , sel =  7
11100101110 // a =  2 , b = 14 , sel =  7
11100101111 // a =  2 , b = 15 , sel =  7
11100110000 // a =  3 , b =  0 , sel =  7
11100110001 // a =  3 , b =  1 , sel =  7
11100110010 // a =  3 , b =  2 , sel =  7
11100110011 // a =  3 , b =  3 , sel =  7
11100110100 // a =  3 , b =  4 , sel =  7
11100110101 // a =  3 , b =  5 , sel =  7
11100110110 // a =  3 , b =  6 , sel =  7
11100110111 // a =  3 , b =  7 , sel =  7
11100111000 // a =  3 , b =  8 , sel =  7
11100111001 // a =  3 , b =  9 , sel =  7
11100111010 // a =  3 , b = 10 , sel =  7
11100111011 // a =  3 , b = 11 , sel =  7
11100111100 // a =  3 , b = 12 , sel =  7
11100111101 // a =  3 , b = 13 , sel =  7
11100111110 // a =  3 , b = 14 , sel =  7
11100111111 // a =  3 , b = 15 , sel =  7
11101000000 // a =  4 , b =  0 , sel =  7
11101000001 // a =  4 , b =  1 , sel =  7
11101000010 // a =  4 , b =  2 , sel =  7
11101000011 // a =  4 , b =  3 , sel =  7
11101000100 // a =  4 , b =  4 , sel =  7
11101000101 // a =  4 , b =  5 , sel =  7
11101000110 // a =  4 , b =  6 , sel =  7
11101000111 // a =  4 , b =  7 , sel =  7
11101001000 // a =  4 , b =  8 , sel =  7
11101001001 // a =  4 , b =  9 , sel =  7
11101001010 // a =  4 , b = 10 , sel =  7
11101001011 // a =  4 , b = 11 , sel =  7
11101001100 // a =  4 , b = 12 , sel =  7
11101001101 // a =  4 , b = 13 , sel =  7
11101001110 // a =  4 , b = 14 , sel =  7
11101001111 // a =  4 , b = 15 , sel =  7
11101010000 // a =  5 , b =  0 , sel =  7
11101010001 // a =  5 , b =  1 , sel =  7
11101010010 // a =  5 , b =  2 , sel =  7
11101010011 // a =  5 , b =  3 , sel =  7
11101010100 // a =  5 , b =  4 , sel =  7
11101010101 // a =  5 , b =  5 , sel =  7
11101010110 // a =  5 , b =  6 , sel =  7
11101010111 // a =  5 , b =  7 , sel =  7
11101011000 // a =  5 , b =  8 , sel =  7
11101011001 // a =  5 , b =  9 , sel =  7
11101011010 // a =  5 , b = 10 , sel =  7
11101011011 // a =  5 , b = 11 , sel =  7
11101011100 // a =  5 , b = 12 , sel =  7
11101011101 // a =  5 , b = 13 , sel =  7
11101011110 // a =  5 , b = 14 , sel =  7
11101011111 // a =  5 , b = 15 , sel =  7
11101100000 // a =  6 , b =  0 , sel =  7
11101100001 // a =  6 , b =  1 , sel =  7
11101100010 // a =  6 , b =  2 , sel =  7
11101100011 // a =  6 , b =  3 , sel =  7
11101100100 // a =  6 , b =  4 , sel =  7
11101100101 // a =  6 , b =  5 , sel =  7
11101100110 // a =  6 , b =  6 , sel =  7
11101100111 // a =  6 , b =  7 , sel =  7
11101101000 // a =  6 , b =  8 , sel =  7
11101101001 // a =  6 , b =  9 , sel =  7
11101101010 // a =  6 , b = 10 , sel =  7
11101101011 // a =  6 , b = 11 , sel =  7
11101101100 // a =  6 , b = 12 , sel =  7
11101101101 // a =  6 , b = 13 , sel =  7
11101101110 // a =  6 , b = 14 , sel =  7
11101101111 // a =  6 , b = 15 , sel =  7
11101110000 // a =  7 , b =  0 , sel =  7
11101110001 // a =  7 , b =  1 , sel =  7
11101110010 // a =  7 , b =  2 , sel =  7
11101110011 // a =  7 , b =  3 , sel =  7
11101110100 // a =  7 , b =  4 , sel =  7
11101110101 // a =  7 , b =  5 , sel =  7
11101110110 // a =  7 , b =  6 , sel =  7
11101110111 // a =  7 , b =  7 , sel =  7
11101111000 // a =  7 , b =  8 , sel =  7
11101111001 // a =  7 , b =  9 , sel =  7
11101111010 // a =  7 , b = 10 , sel =  7
11101111011 // a =  7 , b = 11 , sel =  7
11101111100 // a =  7 , b = 12 , sel =  7
11101111101 // a =  7 , b = 13 , sel =  7
11101111110 // a =  7 , b = 14 , sel =  7
11101111111 // a =  7 , b = 15 , sel =  7
11110000000 // a =  8 , b =  0 , sel =  7
11110000001 // a =  8 , b =  1 , sel =  7
11110000010 // a =  8 , b =  2 , sel =  7
11110000011 // a =  8 , b =  3 , sel =  7
11110000100 // a =  8 , b =  4 , sel =  7
11110000101 // a =  8 , b =  5 , sel =  7
11110000110 // a =  8 , b =  6 , sel =  7
11110000111 // a =  8 , b =  7 , sel =  7
11110001000 // a =  8 , b =  8 , sel =  7
11110001001 // a =  8 , b =  9 , sel =  7
11110001010 // a =  8 , b = 10 , sel =  7
11110001011 // a =  8 , b = 11 , sel =  7
11110001100 // a =  8 , b = 12 , sel =  7
11110001101 // a =  8 , b = 13 , sel =  7
11110001110 // a =  8 , b = 14 , sel =  7
11110001111 // a =  8 , b = 15 , sel =  7
11110010000 // a =  9 , b =  0 , sel =  7
11110010001 // a =  9 , b =  1 , sel =  7
11110010010 // a =  9 , b =  2 , sel =  7
11110010011 // a =  9 , b =  3 , sel =  7
11110010100 // a =  9 , b =  4 , sel =  7
11110010101 // a =  9 , b =  5 , sel =  7
11110010110 // a =  9 , b =  6 , sel =  7
11110010111 // a =  9 , b =  7 , sel =  7
11110011000 // a =  9 , b =  8 , sel =  7
11110011001 // a =  9 , b =  9 , sel =  7
11110011010 // a =  9 , b = 10 , sel =  7
11110011011 // a =  9 , b = 11 , sel =  7
11110011100 // a =  9 , b = 12 , sel =  7
11110011101 // a =  9 , b = 13 , sel =  7
11110011110 // a =  9 , b = 14 , sel =  7
11110011111 // a =  9 , b = 15 , sel =  7
11110100000 // a = 10 , b =  0 , sel =  7
11110100001 // a = 10 , b =  1 , sel =  7
11110100010 // a = 10 , b =  2 , sel =  7
11110100011 // a = 10 , b =  3 , sel =  7
11110100100 // a = 10 , b =  4 , sel =  7
11110100101 // a = 10 , b =  5 , sel =  7
11110100110 // a = 10 , b =  6 , sel =  7
11110100111 // a = 10 , b =  7 , sel =  7
11110101000 // a = 10 , b =  8 , sel =  7
11110101001 // a = 10 , b =  9 , sel =  7
11110101010 // a = 10 , b = 10 , sel =  7
11110101011 // a = 10 , b = 11 , sel =  7
11110101100 // a = 10 , b = 12 , sel =  7
11110101101 // a = 10 , b = 13 , sel =  7
11110101110 // a = 10 , b = 14 , sel =  7
11110101111 // a = 10 , b = 15 , sel =  7
11110110000 // a = 11 , b =  0 , sel =  7
11110110001 // a = 11 , b =  1 , sel =  7
11110110010 // a = 11 , b =  2 , sel =  7
11110110011 // a = 11 , b =  3 , sel =  7
11110110100 // a = 11 , b =  4 , sel =  7
11110110101 // a = 11 , b =  5 , sel =  7
11110110110 // a = 11 , b =  6 , sel =  7
11110110111 // a = 11 , b =  7 , sel =  7
11110111000 // a = 11 , b =  8 , sel =  7
11110111001 // a = 11 , b =  9 , sel =  7
11110111010 // a = 11 , b = 10 , sel =  7
11110111011 // a = 11 , b = 11 , sel =  7
11110111100 // a = 11 , b = 12 , sel =  7
11110111101 // a = 11 , b = 13 , sel =  7
11110111110 // a = 11 , b = 14 , sel =  7
11110111111 // a = 11 , b = 15 , sel =  7
11111000000 // a = 12 , b =  0 , sel =  7
11111000001 // a = 12 , b =  1 , sel =  7
11111000010 // a = 12 , b =  2 , sel =  7
11111000011 // a = 12 , b =  3 , sel =  7
11111000100 // a = 12 , b =  4 , sel =  7
11111000101 // a = 12 , b =  5 , sel =  7
11111000110 // a = 12 , b =  6 , sel =  7
11111000111 // a = 12 , b =  7 , sel =  7
11111001000 // a = 12 , b =  8 , sel =  7
11111001001 // a = 12 , b =  9 , sel =  7
11111001010 // a = 12 , b = 10 , sel =  7
11111001011 // a = 12 , b = 11 , sel =  7
11111001100 // a = 12 , b = 12 , sel =  7
11111001101 // a = 12 , b = 13 , sel =  7
11111001110 // a = 12 , b = 14 , sel =  7
11111001111 // a = 12 , b = 15 , sel =  7
11111010000 // a = 13 , b =  0 , sel =  7
11111010001 // a = 13 , b =  1 , sel =  7
11111010010 // a = 13 , b =  2 , sel =  7
11111010011 // a = 13 , b =  3 , sel =  7
11111010100 // a = 13 , b =  4 , sel =  7
11111010101 // a = 13 , b =  5 , sel =  7
11111010110 // a = 13 , b =  6 , sel =  7
11111010111 // a = 13 , b =  7 , sel =  7
11111011000 // a = 13 , b =  8 , sel =  7
11111011001 // a = 13 , b =  9 , sel =  7
11111011010 // a = 13 , b = 10 , sel =  7
11111011011 // a = 13 , b = 11 , sel =  7
11111011100 // a = 13 , b = 12 , sel =  7
11111011101 // a = 13 , b = 13 , sel =  7
11111011110 // a = 13 , b = 14 , sel =  7
11111011111 // a = 13 , b = 15 , sel =  7
11111100000 // a = 14 , b =  0 , sel =  7
11111100001 // a = 14 , b =  1 , sel =  7
11111100010 // a = 14 , b =  2 , sel =  7
11111100011 // a = 14 , b =  3 , sel =  7
11111100100 // a = 14 , b =  4 , sel =  7
11111100101 // a = 14 , b =  5 , sel =  7
11111100110 // a = 14 , b =  6 , sel =  7
11111100111 // a = 14 , b =  7 , sel =  7
11111101000 // a = 14 , b =  8 , sel =  7
11111101001 // a = 14 , b =  9 , sel =  7
11111101010 // a = 14 , b = 10 , sel =  7
11111101011 // a = 14 , b = 11 , sel =  7
11111101100 // a = 14 , b = 12 , sel =  7
11111101101 // a = 14 , b = 13 , sel =  7
11111101110 // a = 14 , b = 14 , sel =  7
11111101111 // a = 14 , b = 15 , sel =  7
11111110000 // a = 15 , b =  0 , sel =  7
11111110001 // a = 15 , b =  1 , sel =  7
11111110010 // a = 15 , b =  2 , sel =  7
11111110011 // a = 15 , b =  3 , sel =  7
11111110100 // a = 15 , b =  4 , sel =  7
11111110101 // a = 15 , b =  5 , sel =  7
11111110110 // a = 15 , b =  6 , sel =  7
11111110111 // a = 15 , b =  7 , sel =  7
11111111000 // a = 15 , b =  8 , sel =  7
11111111001 // a = 15 , b =  9 , sel =  7
11111111010 // a = 15 , b = 10 , sel =  7
11111111011 // a = 15 , b = 11 , sel =  7
11111111100 // a = 15 , b = 12 , sel =  7
11111111101 // a = 15 , b = 13 , sel =  7
11111111110 // a = 15 , b = 14 , sel =  7
11111111111 // a = 15 , b = 15 , sel =  7
